EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0404142
omega, real, im
6.293263e-01, 1.037179e+00, -1.264364e-01
8.324402e-01, 1.023958e+00, -1.064906e-01
1.106767e+00, 1.014654e+00, -9.017278e-02
1.465296e+00, 1.006409e+00, -8.097669e-02
1.947914e+00, 9.969878e-01, -7.322674e-02
2.563042e+00, 9.899307e-01, -6.830878e-02
3.424066e+00, 9.814150e-01, -6.527402e-02
4.530037e+00, 9.745241e-01, -6.402551e-02
5.992113e+00, 9.664300e-01, -6.603432e-02
7.927565e+00, 9.588641e-01, -6.921248e-02
1.057009e+01, 9.495949e-01, -7.469832e-02
1.391364e+01, 9.403117e-01, -8.182588e-02
1.845393e+01, 9.278973e-01, -9.243736e-02
2.454369e+01, 9.109364e-01, -1.064644e-01
3.255131e+01, 8.921078e-01, -1.199570e-01
4.321071e+01, 8.673095e-01, -1.331373e-01
5.721156e+01, 8.341519e-01, -1.441992e-01
7.575201e+01, 8.013174e-01, -1.506227e-01
1.005888e+02, 7.664361e-01, -1.528340e-01
1.333896e+02, 7.330347e-01, -1.489118e-01
1.765735e+02, 7.050552e-01, -1.416378e-01
2.340678e+02, 6.793785e-01, -1.337723e-01
3.106798e+02, 6.561062e-01, -1.263383e-01
4.111698e+02, 6.329579e-01, -1.200197e-01
5.461295e+02, 6.117867e-01, -1.138264e-01
7.237254e+02, 5.952833e-01, -1.078330e-01
9.582557e+02, 5.765634e-01, -1.041035e-01
1.271695e+03, 5.598399e-01, -9.925516e-02
1.686208e+03, 5.423895e-01, -9.652121e-02
2.234103e+03, 5.246505e-01, -9.314381e-02
2.965431e+03, 5.088677e-01, -8.904710e-02
3.923223e+03, 4.939689e-01, -8.616737e-02
5.210048e+03, 4.786982e-01, -8.113469e-02
6.904879e+03, 4.643113e-01, -7.775944e-02
9.156696e+03, 4.504928e-01, -7.380299e-02
1.214596e+04, 4.370259e-01, -6.909135e-02
1.613231e+04, 4.249147e-01, -6.626124e-02
2.131095e+04, 4.138507e-01, -6.286161e-02
2.827860e+04, 4.018834e-01, -5.934947e-02
3.747491e+04, 3.922020e-01, -5.568714e-02
4.976918e+04, 3.830609e-01, -5.069607e-02
6.585677e+04, 3.735868e-01, -4.798079e-02
8.743691e+04, 3.663139e-01, -4.532848e-02
1.157480e+05, 3.585082e-01, -4.057360e-02
1.534472e+05, 3.517455e-01, -3.863145e-02
2.034181e+05, 3.448671e-01, -3.362673e-02
2.696861e+05, 3.393818e-01, -3.152411e-02
3.575525e+05, 3.338206e-01, -2.915631e-02
4.739878e+05, 3.296065e-01, -2.628669e-02
6.285148e+05, 3.241671e-01, -2.361923e-02
